;Название вакансии;Название компании;Город;Заработная плата;Опыт работы;Тип работы;URL;Описание
43;Аналитик данных (SQL); Сбербанк для экспертов;Санкт-Петербург;170000;1–3 года;полный день;https://hh.ru/vacancy/34434748?query=Data%20scientist;Улучшение банковских продуктов путем Формирования гипотез и продуктовых фичей, их проверка в рыночных условиях. Реализация витрин данных, ETL-потоков.  Составление задания на разработку инженеру данных и data scientist. Умение работать в распределенных географически Agile-командах. Навыки презентации результатов анализа...
44;Специалист по машинному обучению / Data Scientist (FinTech); Университет ИТМО;Санкт-Петербург;75000;1–3 года;полный день;https://hh.ru/vacancy/34076417?query=Data%20scientist;Применение и разработка статистических моделей и методов машинного обучения для решения предметно-ориентированных задач финансовой сферы, в частности, data-driven... Знание теоретических основ и опыт практического применения статистических моделей и методов машинного обучения, data mining, методов анализа слабоструктурированных данных. 
45;Data Scientist;АО Фармасинтез;Москва;100000;1–3 года;полный день;https://hh.ru/vacancy/33381649?query=Data%20scientist;Искать, собирать, структурировать данные. Разрабатывать алгоритмы анализа неструктурированных данных. Совершенствовать текущие алгоритмы и разрабатывать новые, поддерживая высокие стандарты качества обработки... Приветствуется опыт в области анализа данных (Data Mining) и математического моделирования. Хороший уровень математической подготовки (теории вероятности и мат. 
46;Data Analyst / Data Scientist; МодульБанк;Москва;180000;1–3 года;полный день;https://hh.ru/vacancy/34312805?query=Data%20scientist;Анализировать данные о поведении пользователей сайта и клиентах и извлекать из них полезные выводы. Генерировать гипотезы и находить способы их... Прежде всего желание решать аналитические задачи для получения практически полезных выводов, наличие устойчивого интереса к своей работе. Знание классических алгоритмов...
47;Python Data Scientist; Neuro.net;Нижний Новгород;125000;1–3 года;полный день;https://hh.ru/vacancy/34339707?query=Data%20scientist;Придумывать и продумывать технические решения реальных задач. Разрабатывать модели для решения задач понимания естественного языка (NLU). Требования: Опыт разработки на Python от 1-го года. 
48;Специалист по обработке и анализу данных (Data Scientist); ELMA;Ижевск;100000;1–3 года;полный день;https://hh.ru/vacancy/34355155?query=Data%20scientist;Вам предстоит участвовать в создании программного продукта и проектах его внедрения. Будут интересные поездки, постоянное изучение нового, общение и совместная... Распознавание, классификация изображений на основе алгоритмов компьютерного зрения. * Практический опыт анализа процессов компании. * Умение эффективно обрабатывать и анализировать данные. * 
49;Data Scientist; DataData;Екатеринбург;85000;1–3 года;полный день;https://hh.ru/vacancy/34304869?query=Data%20scientist;Ключевые задачи нового участника команды: — Предобработка и очистка данных. — Feature engineering. — Создание моделей машинного обучения. — Очень много экспериментов и исследований... Портрет идеального кандидата: — Уверенное владение технологическим стеком DS — Python + numpy + pandas scikit-learn + DVC. — Фундаментальные знания в...
50;Разработчик-исследователь в области искусственного интеллекта / Data Scientist; Университет ИТМО;Санкт-Петербург;80000;1–3 года;полный день;https://hh.ru/vacancy/34076407?query=Data%20scientist;Проектирование и разработка модулей программных систем в области хранения, обработки и управления большими данными (Big Data) в распределенных средах.  Опыт работы в области написания промышленного кода от 1 года, приветствуется опыт в области анализа данных (Data Mining) и математического...
51;Стажер data scientist в финтех компании; WiseTech;Томск;55000;3–6 лет;полный день;https://hh.ru/vacancy/34288112?query=Data%20scientist; Обязательно: Глубокое, интуитивное понимание алгоритмов. Достойный навык программирования на Python. Письменный английский. Желательно: Опыт в deep learning и reinforcement learning. 
52;Специалист / Разработчик отчетности (SQL/Python);ООО Технологии в образовании;Краснодар;60000;1–3 года;удаленная работа;https://hh.ru/vacancy/34415306?query=Data%20scientist;1. Поддержка текущей разработанной отчетности. 2. Реагирование на заявки пользователей о некорректности данных в отчетах/дашбордах и устранение причин ошибок.  1. SQL (MySQL, Postgre) – умение писать и отлаживать сложные запросы. 2. Python – уметь писать скрипты, отправить и распарсить ответ от...
53;Старший Frontend-разработчик;ООО Цифроматика;Санкт-Петербург;200000;3–6 лет;полный день;https://hh.ru/vacancy/33874147?query=Data%20scientist;Разработка фронтэнда на Angular. Участие в разработке REST API. Участие в проектировании пользовательского интерфейса совместно с бизнес-аналитиками и аналитиками... Высшее техническое образование. Хорошее знание Angular/Vue.js/React, JavaScript, TypeScript. Знание HTML, CSS, JSON. Опыт разработки корпоративных веб-приложений. 
54;Senior Java Developer (AI/NLP систем); Сбербанк для экспертов;Самара;130000;3–6 лет;полный день;https://hh.ru/vacancy/33237653?query=Data%20scientist;Построении архитектуры решения платформы совместно с командой Data Science. Разработка платформы в области обработки естественного языка для создания AI-ассистентов.  Знание NodeJS, React, Redux. Знание Python. Опыт работы с командами Data Science. Опыт внедрения моделей разработанных Data Scientist’ами . 
55;Руководитель аналитического направления; Командор, сеть супермаркетов;Красноярск;80000;1–3 года;полный день;https://hh.ru/vacancy/34338759?query=Data%20scientist;Координация деятельности и консультирование рабочих групп, проектных команд по реализации аналитических задач. Взаимодействие со смежными подразделениями по задачам.  Желателен опыт работы специалиста-аналитика не менее 2 лет (бизнес-аналитиком, аналитиком данных, data-scientist, проектным аналитиком). Знания методов анализа...
56;Senior Back-end Developer;ООО Globus.ai;Норвегия;100000;более 6 лет;удаленная работа;https://hh.ru/vacancy/34593973?query=Data%20scientist;Application business logic implementation, including data access frameworks' and protocols' implementation (REST APIs). Back-end database development and administration.  Experience with C# and .NET Core. Experience with SQL and/or NoSQL databases. Experience with Git. Experience with Agile and...
57;Senior Front-end Developer;ООО Globus.ai;Норвегия;100000;более 6 лет;удаленная работа;https://hh.ru/vacancy/34594110?query=Data%20scientist;Developing our web product for both desktop and mobile environments. Rapid prototyping and product development iterations through continuous testing on... Experience with HTML, CSS and JavaScript. Experience with React. Experience using Git. Experience with Agile. Advanced English both written and...
58;Chief technical officer / CTO; Neuro.net;Нижний Новгород;400000;более 6 лет;полный день;https://hh.ru/vacancy/34492776?query=Data%20scientist;Формирование команды R&D, QA и Help Desk в области Conversational AI. Управление обособленным подразделением компании в Нижнем Новгороде.  Опыт управления R&D не менее 6-ти лет. Опыт в области Artificial Intelligence не обязателен, но является преимуществом. 
59;Специалист Oracle BI;ООО ГЕТСИЭРЭМ;Москва;180000;1–3 года;полный день;https://hh.ru/vacancy/34258722?query=Data%20scientist;Написание ETL для загрузки данных в базу. Создание отчетов Oracle Business Intelligence. Навыки проектирования баз данных и хорошее знание PL/SQL или T-SQL (опыт работы не менее 2 лет). 
60;Backend developer (Аналитическая платформа); Туту.ру;Москва;150000;3–6 лет;полный день;https://hh.ru/vacancy/32869735?query=Data%20scientist;...собираем данные 1.3 млн.. Делаем инструменты для 5 продуктовых команд (15+ аналитиков и data scientist, 70+ разработчиков). Опыт разработки крупных систем от 2-х лет и более. Уверенное владение ООП и другими подходами к проектированию. 
61;Аналитик в финансовом отделе; MacCoffee;Москва;70000;1–3 года;полный день;https://hh.ru/vacancy/34533360?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Внутренний аудит по регионам РФ. Работа с массивами данных. Выгрузка данных. Контроль затрат по регионам. Составление аналитических отчетов.  Высшее образование. Опыт работы на аналогичной должности в компании от 1 года. Готовность к командировкам. Знания бухгалтерии, финансового управления. 
62;Ведущий системный аналитик; Сбербанк для экспертов;Вологда;59800;не требуется;полный день;https://hh.ru/vacancy/33206561?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Согласование БТ, взаимодействие с БА и заказчиком. Анализ, декомпозиция и детализация требований. Описание пользовательского взаимодействия, UML (use case), user story.  Знаете логическую модель структур реляционной БД, ER-диаграммы, типы данных, нормализация, ключи, индексы, триггеры, нереляционные БД. Знаете UML, BPMN. 
63;Продуктовый Аналитик / Product Analyst; ZAVOD Games;Москва;165000;1–3 года;полный день;https://hh.ru/vacancy/33308536?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Где проблемные места в игре, на которых игроки уходят? Самостоятельно задать уточняющие вопросы. Спроектировать решение. Провести исследование. Написать запросы и... Какие механики и какой контент нравятся игрокам и повышают их удовольствие от игры, а какие – не нравятся и расстраивают? 
