;Название вакансии;Название компании;Город;Заработная плата;Опыт работы;Тип работы;URL;Описание
321;Бизнес-аналитик 1С/Специалист по внедрению 1С/Методолог 1С.;ООО МАКСПРОФИТ;Королев;100000;3–6 лет;полный день;https://hh.ru/vacancy/34302667?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Построение новых бизнес-процессов. Аудит базы данных и выявление ошибок пользователей. Разработка и построение отчетности в конфигурации УПП.  Опыт работы в данной области от 3 лет.(Методолог/Бизнес -аналитик/Специалист по внедрению 1С). Уверенные знания 1С...
322;Ведущий аналитик информационно-аналитического отдела; ЦИПРТМ;Москва;150000;3–6 лет;полный день;https://hh.ru/vacancy/34598793?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Подготовка обзоров новостей, мониторинг СМИ. Работа с информационными ресурсами (базы данных, Интернет, СМИ, социальные сети). Анализ и систематизация полученной информации. Высшее образование. Опыт работы от 5 лет. Умение исполнять информационно-аналитические документы. Уверенные навыки в офисных программах, поиске информации в...
323;Ведущий аналитик; Юнисервис;Москва;110000;3–6 лет;полный день;https://hh.ru/vacancy/34627757?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Работа с OLAP-кубами. Написание технических заданий для программистов для построения отчетов. Подготовка внутренних аналитических отчетов-прогнозов по запросу руководства.  Навык поиска и анализа плохо формализованных данных. Приветствуется написание SQL запросов, MDX запросов. Желание развиваться, аналитический склад ума, умение доносить...
324;Бизнес-аналитик;ООО IML;Москва;150000;3–6 лет;полный день;https://hh.ru/vacancy/33417341?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Проведение интервью с заказчиками, глубокое погружение в информационную среду заказчика. На основе данных, собранных от заказчиков, описание текущих бизнес-процессов.  Грамотная, структурированная и понятная письменная речь - умение четко и кратко излагать суть процесса в документе. Опыт работы на подобной должности...
325;Бренд-менеджер; УК, КераМир;Санкт-Петербург;60000;1–3 года;полный день;https://hh.ru/vacancy/32789461?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Аналитика рынка и внутренних данных по ключевым показателям брендов, формирование предложений по увеличению коммерческих показателей бренда на основании полученных данных... Высшее образование (маркетинг, реклама, экономика) обязательно. Успешный подтвержденный опыт работы в области бренд-менеджмента (Non Food) от 2 лет. 
326;Аналитик СМИ (специалист поддержки); Сайтсофт;Екатеринбург;24000;не требуется;удаленная работа;https://hh.ru/vacancy/32393906?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Сбор, анализ и структурирование информации, размещенной в СМИ, с помощью нашей системы мониторинга. Создание тем мониторинга с использованием булевских операторов.  Умение самостоятельно распределять свое время и соблюдать дедлайны при работе с большим массивом данных. Обучаемость и исполнительность. Отсутствие страха задавать...
327;Аналитик данных; ГБУ ТО Многофункциональный центр предоставления государственных и муниципальных услуг;Тула;30000;не требуется;полный день;https://hh.ru/vacancy/34585142?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Работа в федеральных информационных системах (ввод и анализ данных). Сбор, свод и анализ статистических данных. Подготовка периодических статистических отчетов для... Опыт работы в государственных структурах (федеральный, региональный уровни), в IT-компаниях в качестве аналитика, бизнес-аналитика или методолога. 
328;Бизнес аналитик / Системный аналитик; ФГБУ ЦСМС;Москва;85000;1–3 года;полный день;https://hh.ru/vacancy/33653150?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Разработка интерфейсов, GUI, модели данных, ER, сущностей. Подготовка (настройка) интерфейсов, документирование и ввод/загрузка настроек/данных для выполнения бизнес-процессов.  Высшее образование (предпочтительно техническое). Опыт работы бизнес-аналитиком или системным аналитиком от года. Умение грамотно писать аналитические документы, технические задания...
329;Аналитик-маркетолог; Теремъ;Москва;80000;3–6 лет;полный день;https://hh.ru/vacancy/34616311?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;...сравнении с конкурентами. Факторный анализ выполнения планов, динамики продаж. Расчет плановой и фактической себестоимости продукции. Систематизация внешних и внутренних данных. Опыт работы от 5 лет. Результативный опыт маркетингового анализа и исследований. Уверенный пользователь ПК: 1С Документооборот, MS Office, Битрикс...
330;SEO-специалист;ИП Меню недели;Санкт-Петербург;50000;3–6 лет;гибкий график;https://hh.ru/vacancy/34309496?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;"умеете планировать и видеть картину ""целиком"" (например, проанализировать нишу и конкурентов перед тем, как вносить предложения и изменения на сайте).  обладаете техническим складом ума и умеете работать с большими объемами данных. - обладаете базовыми знаниями и навыками работы с HTML. - "
331;Аналитик;ООО ФК ПУЛЬС;Москва;75000;1–3 года;полный день;https://hh.ru/vacancy/34535091?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Подготовка данных для участия в обзорах заработных плат. Консультирование работников компании по размеру и структуре заработной платы. Построение моделей и... MS Excel уверенный пользователь(сводные таблицы, ВПР,ГПР, СУММЕСЛИМН). Аналитический склад ума. Умение работать в режиме многозадачности. Опыт работы в...
332;Экономист-аналитик;ООО Экопромсервис;Солнечногорск;80000;3–6 лет;полный день;https://hh.ru/vacancy/34597074?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Сбор цифровых данных и аналитика. Присвоение различным данным коэффициента приоритетности. Произведение статистических и других расчетов (использование, структурирование, обработка информационного материала... Опыт работы от 3-х лет (предпочтительно в ЖКХ). Уверенный пользователь MS office (Ехсеl на уровне макросов). Высшее экономическое образование. 
333;Маркетолог-аналитик; TEZ TOUR;Москва;62500;3–6 лет;полный день;https://hh.ru/vacancy/34625221?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Анализ рынка и ЦА: мониторинг рыночной ситуации, ценовой политики, оценка поведения конкурентов. - Изучение потребностей ЦА: наблюдение за положением продукта на... Опыт работы маркетологом-аналитиком от 1 года. - Уверенное знание MS Excel. - Аналитические способности. - Опыт работы с большими объемами данных. - 
334;Трафик-менеджер / Арбитражник / Mediabuyer;ООО АдсПро Медиа;Санкт-Петербург;80000;1–3 года;удаленная работа;https://hh.ru/vacancy/33343379?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Aнализ рынка/конкурентов. Эффективная закупка и генерация трафика для наших проектов. Поиск и тестирование новых источников трафика (CPM, CPC).  Oпыт работы с CPA-сетями. Навыки владения инструментами трекинга и аналитики (трекинговые ссылки, постбеки, трекинг событий, опыт работы с CPA...
335;Web-аналитик;ООО Livemaster;Смоленск;20000;не требуется;полный день;https://hh.ru/vacancy/34698451?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Участвует в планировании стратегии продвижения продуктов. Анализирует цифры, показатели, метрики. На основе полученных данных предлагает действия по улучшению.  Есть желание развиваться в сфере подбора персонала и общаться с большим количеством людей, помогать им в выборе профессии. 
336;Ведущий аналитик;ООО СПОРТТЕХКОНСАЛТ;Москва;115000;1–3 года;полный день;https://hh.ru/vacancy/34496398?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;"...данных. Управление рисками. Расчёт и корректировка вероятностей исходов событий. Сбор информации по группе спортивного направления. Сбор и анализ статистических данных... Высшее образование. Опыт работы аналитиком от 2х лет. Уверенное знание MS Office (Word; Excel). Знание английского языка (письменный составление..."
337;Аналитик; Этажи, федеральная компания;Тюмень;80000;1–3 года;полный день;https://hh.ru/vacancy/34592895?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Формирование рейтингов. Построение и визуализация бизнес-процессов, алгоритмов, потоков данных. Моделирование бизнес–процессов. Планирование и прогнозирование. Аудит и оптимизация бизнес... Математический склад ума. Глубокое знание Excel, опыт работы с базами данных. Опыт обработки большого объема данных. Опыт написания технических заданий.
338;Контент-менеджер;ООО ФАРМКЛУБ;Москва;40000;не требуется;полный день;https://hh.ru/vacancy/34510097?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Обработка персональных данных и активация пользователей, участие в веб-аналитике. Техническая поддержка пользователей. Почтовая и смс-рассылки по базе пользователей.  Высшее или неоконченное высшее образование. Отличное знание пакета Microsoft Office. Приветствуются знания Битрикс 1С и опыт работы в аналогичной...
339;Финансовый аналитик; Эй-Пи Трейд;Хабаровск;32500;1–3 года;полный день;https://hh.ru/vacancy/34629292?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Подготовка информации для составления финансовой отчетности и анализа данных. - Сбор, обработка и анализ статистических данных для осуществления анализов финансовых результатов... Желательно знания 1 С Торговля, Бухгалтерия. - Умение работать с базами данных и большим объемом информации. - Умение анализировать и формулировать выводы...
340;Актуарный аналитик;АО ПАРИ, АО Страховая компания;Москва;90000;не требуется;полный день;https://hh.ru/vacancy/34112835?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Подготовка данных. Работа с программным обеспечением для предиктивного моделирования. Участие в разработке тарифных руководств. Высшее образование (математическое или техническое). Английский язык уровня Intermediate или выше. Навыки работы с Statsoft Statistica, IPSS Statistic или аналогичными...
341;Младший аналитик отдела планирования перевозок; ПИТЕРАВТО;Санкт-Петербург;35000;не требуется;полный день;https://hh.ru/vacancy/34320227?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Работа с большими объемами данных: запросы, таблицы, сводные таблицы. Формирование отчётов. Желательно высшее математическое или экономическое образование. Знание MS Excel на уровне продвинутого пользователя. Усидчивость, обучаемость, заинтересованность в профессиональном росте. 
342;Системный аналитик;ООО ВБЦ;Москва;70000;не требуется;полный день;https://hh.ru/vacancy/33558971?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Разработка функциональных требований и технических заданий на автоматизацию информационных систем. Согласование функциональных требований и технических заданий с рабочей группой.  Высшее образование (мехмат, физфак будет плюсом). Навыки анализа и структурирования данных. Опыт написания ТЗ. Отличное знание Excel (формулы, сводные таблицы...
343;Аналитик баз данных (Data Scientist); Федеральная антимонопольная служба;Москва;95000;1–3 года;полный день;https://hh.ru/vacancy/34588606?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Написание кода по обработке данных на языке Python. Написание SQL-запросов к БД. Подготовка аналитических материалов (отчетов, таблиц, диаграмм, презентаций). ...качестве аналитика от 1 года. Знание Python. Опыт работы с библиотеками Pandas, NumPy, SciPy, Matplotlib. Знание основ построения баз данных...
344;Специалист по подбору персонала;ООО СМГ;Тюмень;25000;1–3 года;полный день;https://hh.ru/vacancy/34622289?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Ведение первичного кадрового делопроизводства. Работа с базами данных, ведение аналитики по подбору персонала. Формирование кадрового резерва. Адаптация персонала. Отчетность.  Опыт составления нормативных документов (регламенты, приказы, акты). Знание программы 1С, Excel, базовых прикладных программ. Знание трудового законодательства РФ. 
345;Финансовый менеджер/ экономист; Ассоциация Медицины и Аналитики;Санкт-Петербург;55000;3–6 лет;полный день;https://hh.ru/vacancy/34503339?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Выбор наиболее перспективных вариантов развития на фоне имеющихся данных, принятие результативных управленческих решений. Развитие отношений с финансовыми, кредитными организациями для... Высшее экономическое образование. Опыт работы по специальности от 3-х лет (желательно, на производственном предприятии). Основы экономики, бюджетирования, анализа. Ценообразование. 
346;Аналитик данных ревизионной службы; МАГНИТ, Розничная сеть;Санкт-Петербург;54000;1–3 года;полный день;https://hh.ru/vacancy/33571730?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Подготовка и консолидация графиков проведения инвентаризаций по объектам. Формирование отчетности службы по проведению инвентаризаций. Ведение информационных баз. Принимать участие в... Высшее экономическое образование. Опыт работы с аналогичным функционалом в других компаниях (желательно ритейл). Продвинутый пользователь MS Office, в частности Еxcel...
347;Системный аналитик / разработчик SQL;ООО Лаборатория Гемотест;Рязань;100000;3–6 лет;полный день;https://hh.ru/vacancy/34300180?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Поддержание и развитие отчётного хранилища данных (DWH). Оптимизация существующих и разработка новых запросов, необходимых для реализации отчётности. Доработка и разработка... Опыт оптимизации хранилища данных в рамках разработчика. Написание хранимых процедур. ETL, проектирование и разработка процессов преобразования данных для хранилища. 
348;Аналитик; EASTEX;Москва;100000;1–3 года;полный день;https://hh.ru/vacancy/34550055?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Анализ финансовой деятельности компании - таможенного брокера. Сбор и обработка больших объемов данных (планы, прогнозы, целевые показатели клиентов). Многофакторный анализ деятельности... Опыт работы в аналогичной должности от 2-х лет. Высшее экономическое/техническое/математическое образование. Отличное знание ПО (Excel, SQL, VBA...
349;Аналитик;ООО Комформ;Владивосток;48000;1–3 года;полный день;https://hh.ru/vacancy/34428375?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Предоставление ежедневных отчетов. Предоставление еженедельных отчетов. Ежемесячная отчетность. Предоставление данных для расчета премий сотрудникам. Расчет плановых показателей по товарным категориям... Свободное владение компьютером, word, excel. Опыт работы в аналогичной должности. Аналитический склад ума.
350;Специалист отдела аналитики; МПК Модекс (Сырный дом - Черноземье);Воронеж;25000;1–3 года;полный день;https://hh.ru/vacancy/34557793?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;...аналитических данных в виде сводных таблиц, диаграмм, презентаций, внедрение новых и обновление существующих форм отчётности. Обработка фотоотчетов с внесением данных... ...таблицы, ВПР) ОБЯЗАТЕЛЬНО. Аналитический склад ума. Умение работать с большим объемом информации. Внимательность. Вдумчивость. Скрупулезность. Желание развиваться в сфере аналитики.
351;Junior analyst - Инженер-аналитик (ИТ, финрынки, big data software support); EGAR TECHNOLOGY, INC.;Самара;40000;не требуется;полный день;https://hh.ru/vacancy/34668020?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Анализ больших массивов финансовых данных (проверки, формулы, математические расчеты). Работа с базами данных, написание SQL запросов. Построение математических и статистических... Готовность работать в ночное время суток. Знание основ баз данных, знание SQL. Математическое или техническое (физика, ИТ) образование. 
352;Помощник аналитика BI; BI Analytics;Курск;25000;не требуется;удаленная работа;https://hh.ru/vacancy/34581764?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Анализ данных клиента. Мы вместе с клиентом изучаем его данные. Создание и доработка отчетов Qlik Sense. Я проектирую модель данных... Поверь, через год ты станешь полноценным BI аналитиком. Этому невозможно научиться на тестовых данных, нужна хорошая практика на реальных кейсах. 
353;Оператор базы данных;ООО ИА Тендерлэнд;Ярославль;19500;не требуется;полный день;https://hh.ru/vacancy/34622712?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Проверка корректности информации. Корректировка изменений. Ведение статистики. Внимательны и готовы к работе с большим объемом информации. Готовы учиться и развиваться. Уверенный пользователь ПК.
354;Аналитик-маркетолог; АРК ПЕРСОНАЛ, Кадровое агентство;Владивосток;55000;1–3 года;полный день;https://hh.ru/vacancy/33346733?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Обязанности: проведение маркетинговых исследований рынка, анализ продаж и предоставление отчетов, оценка эффективности проведенных маркетинговых мероприятий, предоставление первичных данных по продажам... Профессиональные навыки: высшее образование, опыт работы в аналогичной должности, уверенный пользователь MS Office, 1С. Личностные характеристики: развитые коммуникативные навыки...
355;Аналитик данных;ООО Центр 2М;Москва;180000;1–3 года;полный день;https://hh.ru/vacancy/34221674?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Работа с базами данных: разработка отчетности, процедур загрузки данных, сверок и аналитика. Разработка моделей предиктивной аналитики на больших объемах данных... Желателен опыт разработки на Python (знание numpy, pandas, sklearn). Умение анализировать большие объемы данных, видеть скрытые тенденции и закономерности, формализовывать...
356;Аналитик данных (Big Data); Сбербанк для руководителей;Москва;140000;3–6 лет;полный день;https://hh.ru/vacancy/33584670?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Задачи: - Анализирует решения по обработке массивов неструктурированной информации. Анализирует данные и спецификации данных. - Извлекает и декомпозирует информацию от всех заинтересованных... Hard skills: SQL. Навыки сбора и консолидации данных для подготовки требований и технического задания, опыт управления изменениями в утвержденных требованиях...
357;Маркетолог-аналитик;ООО Альфатория;Воронеж;40000;1–3 года;полный день;https://hh.ru/vacancy/34644999?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Анализ конкурентов по цене и ассортименту и подготовка ежемесячных отчетов. Способность работы с массивами данных и их систематизация.  Высшее профильное образование (маркетинг, экономика, аналитика, математика, социология). Владение ПК на уровне уверенного пользователя, отличное знание Excel, 1С. 
358;Аналитик;АО Группа Компаний Основа;Москва;100000;3–6 лет;полный день;https://hh.ru/vacancy/32868583?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Поиск информации в открытых источниках и платных базах данных. Маркетинговые исследования. Подготовка отчетов. Ведение документооборота и выполнение различных задач организационного... Высшее экономическое/финансовое образование. Уверенные знания теории оценки бизнеса и имущества. Опыт подготовки презентаций в Power Point. Высокий уровень владения...
359;Инвестиционный аналитик; МАГНИТ, Розничная сеть;Санкт-Петербург;79000;не требуется;полный день;https://hh.ru/vacancy/33124217?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Консультация заинтересованных сотрудников по вопросам экономики инвестиционных проектов, процедур инвестиционного процесса, документооборота, матрицы инвестиционных решений. Ведение базы данных по инвестиционным... Высшее образование. Опыт согласования и расчетов инвестиционных моделей проектов. Готовность к работе в режиме многозадачности.
360;Помощник аналитика; Гамма;Москва;37500;1–3 года;полный день;https://hh.ru/vacancy/33664363?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Внос информации в базу данных. Работа с отчетами (проверка, выгрузка, обработка отчетов по сбору информации, создание заявок на доработку, проверка... Способность к кропотливому труду, внимательность, аккуратность, усидчивость и ответственность. Базовые знания Excel. Умение работать с большими объемами информации. 
361;Аналитик данных; Cитуационный центр Департамента здравоохранения города Москвы;Москва;85000;1–3 года;полный день;https://hh.ru/vacancy/34510613?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Ситуационный центр ДЗМ – подразделение Департамента здравоохранения Москвы, выполняющее различные проекты в области информатизации , повышения доступности и качества предоставления медицинской помощи... Знания Excel на уровне продвинутого пользователя (ВПР, Индекс, сложные формулы, свободное написание макросов). Знание Python, библиотек концепции анализа данных будет...
362;Junior Аналитик BI (IT);ООО Кей Групп;Москва;40000;не требуется;полный день;https://hh.ru/vacancy/33788434?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Визуализация данных с помощью Power BI: построение диаграмм, графиков, сводных таблиц. Написание SQL-запросов для выборки данных для отчетов (мы... Базовые навыки SQL. Желание развиваться в области IT-аналитики. Опыт работы с BI-инструментами. Техническое образование. Английский не ниже intermediate...
363;Торговый аналитик/маркетолог;ООО ФАТТУРА;Москва;70000;1–3 года;полный день;https://hh.ru/vacancy/34305314?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Понимание логики и базовых принципов работы торговой b2b-компании: каналы поставки, себестоимость поступления, клиентские прайс-листы, товарная матрица... Умения и навыки: SQL (на уровне построения запросов из разных источников, перемещения данных между файлами и таблицами). Excel (на уровне...
364;Финансовый аналитик; SOKOLOV;Москва;75000;1–3 года;полный день;https://hh.ru/vacancy/34571801?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Выгрузка данных из систем 1С/BI и их подготовка/обработка для требуемых форм отчетности. Ведение отчетности «план-факт» ежемесячно.  ...аналитика данных. Уверенный пользователь Excel на уровне сводных таблиц и функций ВПР. Пользователь 1C на уровне пользователя (выгрузка данных). 
365;Бизнес-аналитик; AN-SECURITY;Санкт-Петербург;50000;1–3 года;полный день;https://hh.ru/vacancy/32687551?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;...по запросам Заказчиков. - Разработка регламентов, процедур и инструкций, форматов входных данных, шаблонов их сбора, шаблонов отчетности. - Подготовка требований для автоматизации... Навык подготовки коммерческих предложений, технических заданий, презентаций. - Развитые коммуникативные навыки. - Умение в письменном и графическом виде излагать мысли. - 
366;Аналитик (г. Иннополис); Университет Иннополис;Казань;50000;1–3 года;полный день;https://hh.ru/vacancy/34552817?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Графическое представление результатов аналитики, конструирование дашбордов и информационных панелей, настройка запланированных обновлений. Оптимизация действующих процессов по аналитике данных: проведение сравнительных... Опыт работы с большим объемом данных. Высокие аналитические способности, внимательность, высокая концентрация, Умение работать в режиме многозадачности, повышенное чувство личной...
367;Ведущий аналитик Аналитического центра; Национальный исследовательский университет «Высшая школа экономики»;Москва;85000;1–3 года;полный день;https://hh.ru/vacancy/31929294?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;...и анализа данных, характеризующих деятельность университета. Организация и участие в работах по автоматизации процесса сбора, хранения и обработки данных.  Желательно знание Python, R. Обработка данных в Excel: работа с умными таблицами, форматирование данных, применение функции ВПР, создание фильтров, использование...
368;Lead Analytic (game dev); AppQuantum;Москва;80000;1–3 года;полный день;https://hh.ru/vacancy/34422987?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Построение процессов в отделе аналитики, распределение задач и помощь другим аналитикам в решении их задач. Доработка внутренней BI: визуализация данных... Отличные знания Python для обработки, анализа, визуализации данных. Опыт работы с базами данных (в идеале – умение отлаживать инфраструктуру “сервер<>база...
369;Аналитик;ООО МультиКарта;Санкт-Петербург;60000;1–3 года;полный день;https://hh.ru/vacancy/34542747?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;Подготовка управленческой отчетности (ежемесячная, ежеквартальная). Подготовка разовых отчетов, аналитики по показателям, статистики, работа с большим объемом данных. Аналитическая поддержка операционной... Высшее техническое/экономическое образование. Отличное знание EXCEL. Опыт написания макросов и знание ACCESS. Ответственность, аналитический склад ума. Английский язык - чтение...
370;Data Analyst/ Аналитик данных; «РОСБАНК, Societe Generale Group», с опытом работы;Москва;100000;1–3 года;полный день;https://hh.ru/vacancy/34097025?query=%D0%90%D0%BD%D0%B0%D0%BB%D0%B8%D1%82%D0%B8%D0%BA%20%D0%B4%D0%B0%D0%BD%D0%BD%D1%8B%D1%85;"Построение конечных целевых витрин. Расчёт продуктового P&L (прямые и косвенные доходы/ расходы, аллокации, кассовые методы vs начисление).  ...ведение продукта в АБС/CRM/Мобильный банк; портфельная и продуктовая аналитика). Навыки работы в команде. Стремление к личностному развитию и..."
